Date,Perth_CPI
01-09-1948,3.7
01-12-1948,3.8
01-03-1949,3.9
01-06-1949,4.0
01-09-1949,4.1
01-12-1949,4.2
01-03-1950,4.2
01-06-1950,4.4
01-09-1950,4.5
01-12-1950,4.6
01-03-1951,4.8
01-06-1951,5.1
01-09-1951,5.4
01-12-1951,5.7
01-03-1952,6.0
01-06-1952,6.2
01-09-1952,6.4
01-12-1952,6.4
01-03-1953,6.5
01-06-1953,6.5
01-09-1953,6.6
01-12-1953,6.6
01-03-1954,6.6
01-06-1954,6.7
01-09-1954,6.7
01-12-1954,6.7
01-03-1955,6.7
01-06-1955,6.8
01-09-1955,6.8
01-12-1955,6.9
01-03-1956,6.9
01-06-1956,7.1
01-09-1956,7.1
01-12-1956,7.2
01-03-1957,7.2
01-06-1957,7.3
01-09-1957,7.3
01-12-1957,7.2
01-03-1958,7.2
01-06-1958,7.3
01-09-1958,7.3
01-12-1958,7.3
01-03-1959,7.4
01-06-1959,7.4
01-09-1959,7.4
01-12-1959,7.4
01-03-1960,7.5
01-06-1960,7.6
01-09-1960,7.7
01-12-1960,7.7
01-03-1961,7.8
01-06-1961,7.9
01-09-1961,7.8
01-12-1961,7.7
01-03-1962,7.8
01-06-1962,7.8
01-09-1962,7.8
01-12-1962,7.8
01-03-1963,7.9
01-06-1963,7.9
01-09-1963,7.9
01-12-1963,7.9
01-03-1964,8.0
01-06-1964,8.0
01-09-1964,8.1
01-12-1964,8.1
01-03-1965,8.2
01-06-1965,8.3
01-09-1965,8.4
01-12-1965,8.4
01-03-1966,8.5
01-06-1966,8.7
01-09-1966,8.7
01-12-1966,8.8
01-03-1967,8.9
01-06-1967,9.0
01-09-1967,9.0
01-12-1967,9.1
01-03-1968,9.1
01-06-1968,9.2
01-09-1968,9.2
01-12-1968,9.2
01-03-1969,9.4
01-06-1969,9.5
01-09-1969,9.5
01-12-1969,9.6
01-03-1970,9.7
01-06-1970,9.9
01-09-1970,9.9
01-12-1970,10.0
01-03-1971,10.1
01-06-1971,10.3
01-09-1971,10.4
01-12-1971,10.6
01-03-1972,10.8
01-06-1972,10.9
01-09-1972,11.0
01-12-1972,11.1
01-03-1973,11.3
01-06-1973,11.6
01-09-1973,11.9
01-12-1973,12.3
01-03-1974,12.5
01-06-1974,13.0
01-09-1974,13.6
01-12-1974,14.4
01-03-1975,15.0
01-06-1975,15.6
01-09-1975,15.6
01-12-1975,16.5
01-03-1976,17.1
01-06-1976,17.7
01-09-1976,18.2
01-12-1976,19.3
01-03-1977,19.8
01-06-1977,20.2
01-09-1977,20.7
01-12-1977,21.5
01-03-1978,21.7
01-06-1978,22.1
01-09-1978,22.5
01-12-1978,23.0
01-03-1979,23.3
01-06-1979,24.0
01-09-1979,24.4
01-12-1979,25.2
01-03-1980,25.7
01-06-1980,26.3
01-09-1980,26.9
01-12-1980,27.3
01-03-1981,27.9
01-06-1981,28.5
01-09-1981,29.4
01-12-1981,30.7
01-03-1982,31.0
01-06-1982,31.6
01-09-1982,32.8
01-12-1982,33.7
01-03-1983,34.2
01-06-1983,34.8
01-09-1983,35.8
01-12-1983,36.5
01-03-1984,36.2
01-06-1984,36.2
01-09-1984,36.8
01-12-1984,37.2
01-03-1985,37.8
01-06-1985,38.7
01-09-1985,39.4
01-12-1985,40.3
01-03-1986,41.0
01-06-1986,41.7
01-09-1986,43.1
01-12-1986,44.4
01-03-1987,45.2
01-06-1987,46.0
01-09-1987,46.7
01-12-1987,47.5
01-03-1988,48.2
01-06-1988,49.1
01-09-1988,50.1
01-12-1988,51.1
01-03-1989,51.6
01-06-1989,52.8
01-09-1989,54.0
01-12-1989,55.1
01-03-1990,56.4
01-06-1990,57.3
01-09-1990,57.8
01-12-1990,59.2
01-03-1991,58.6
01-06-1991,58.6
01-09-1991,58.9
01-12-1991,59.1
01-03-1992,59.1
01-06-1992,58.8
01-09-1992,58.8
01-12-1992,59.1
01-03-1993,59.3
01-06-1993,59.5
01-09-1993,60.1
01-12-1993,60.5
01-03-1994,60.5
01-06-1994,60.8
01-09-1994,61.3
01-12-1994,61.8
01-03-1995,63.0
01-06-1995,64.0
01-09-1995,64.4
01-12-1995,64.8
01-03-1996,65.2
01-06-1996,65.7
01-09-1996,65.9
01-12-1996,66.0
01-03-1997,65.9
01-06-1997,65.8
01-09-1997,65.5
01-12-1997,65.5
01-03-1998,65.7
01-06-1998,66.2
01-09-1998,66.7
01-12-1998,67.0
01-03-1999,66.7
01-06-1999,67.3
01-09-1999,67.9
01-12-1999,68.3
01-03-2000,68.6
01-06-2000,69.1
01-09-2000,71.6
01-12-2000,71.8
01-03-2001,72.2
01-06-2001,73.2
01-09-2001,73.3
01-12-2001,73.9
01-03-2002,74.5
01-06-2002,75.0
01-09-2002,75.7
01-12-2002,76.0
01-03-2003,76.6
01-06-2003,76.5
01-09-2003,77.2
01-12-2003,77.5
01-03-2004,77.8
01-06-2004,78.6
01-09-2004,79.1
01-12-2004,79.8
01-03-2005,80.4
01-06-2005,81.5
01-09-2005,82.4
01-12-2005,83.0
01-03-2006,83.8
01-06-2006,85.4
01-09-2006,86.3
01-12-2006,86.6
01-03-2007,86.8
01-06-2007,88.0
01-09-2007,88.6
01-12-2007,89.3
01-03-2008,90.5
01-06-2008,92.0
01-09-2008,92.9
01-12-2008,92.6
01-03-2009,92.5
01-06-2009,93.3
01-09-2009,94.0
01-12-2009,94.5
01-03-2010,95.6
01-06-2010,96.5
01-09-2010,96.9
01-12-2010,97.0
01-03-2011,98.1
01-06-2011,99.4
01-09-2011,99.6
01-12-2011,99.8
01-03-2012,100.0
01-06-2012,100.5
01-09-2012,101.6
01-12-2012,101.9
01-03-2013,102.4
