,WA_SFD,WA_GFCF
01-09-1985,13290,2971
01-12-1985,13048,2813
01-03-1986,13246,2840
01-06-1986,13277,2850
01-09-1986,13352,2830
01-12-1986,13359,2860
01-03-1987,13608,2980
01-06-1987,13591,2851
01-09-1987,13711,3070
01-12-1987,14399,3300
01-03-1988,14444,3418
01-06-1988,14655,3665
01-09-1988,14779,3501
01-12-1988,15301,3757
01-03-1989,15628,3798
01-06-1989,16792,4653
01-09-1989,16992,4733
01-12-1989,16108,4078
01-03-1990,16306,3965
01-06-1990,15945,3545
01-09-1990,15964,3644
01-12-1990,15597,3397
01-03-1991,15493,3115
01-06-1991,15415,3303
01-09-1991,15795,3283
01-12-1991,15757,3213
01-03-1992,15669,3297
01-06-1992,15936,3231
01-09-1992,16647,3577
01-12-1992,17133,4006
01-03-1993,17460,4351
01-06-1993,17304,4016
01-09-1993,17264,4008
01-12-1993,17861,4266
01-03-1994,17873,4270
01-06-1994,18437,4759
01-09-1994,18397,4666
01-12-1994,19053,5254
01-03-1995,18566,4557
01-06-1995,18943,4795
01-09-1995,19373,4929
01-12-1995,19787,5059
01-03-1996,20290,5370
01-06-1996,20430,5576
01-09-1996,19932,5136
01-12-1996,20317,5191
01-03-1997,20428,4956
01-06-1997,21135,5450
01-09-1997,22037,6020
01-12-1997,22675,6587
01-03-1998,23351,10470
01-06-1998,22609,6664
01-09-1998,22681,6359
01-12-1998,21946,5552
01-03-1999,22540,5964
01-06-1999,22263,5812
01-09-1999,22770,6211
01-12-1999,22722,5739
01-03-2000,22809,5488
01-06-2000,23001,5605
01-09-2000,22349,4647
01-12-2000,22034,4596
01-03-2001,23266,5629
01-06-2001,22751,4997
01-09-2001,23232,5510
01-12-2001,23533,5491
01-03-2002,23491,5495
01-06-2002,24133,5906
01-09-2002,24374,5999
01-12-2002,25251,6509
01-03-2003,25293,6661
01-06-2003,26021,7260
01-09-2003,26857,7679
01-12-2003,27011,7526
01-03-2004,27314,7474
01-06-2004,27812,7487
01-09-2004,28199,7576
01-12-2004,28586,7807
01-03-2005,29182,8267
01-06-2005,29250,7794
01-09-2005,30890,9263
01-12-2005,32003,10115
01-03-2006,32304,10266
01-06-2006,33938,11363
01-09-2006,33303,10440
01-12-2006,35020,11560
01-03-2007,36300,12398
01-06-2007,37255,13050
01-09-2007,37992,13372
01-12-2007,37932,13055
01-03-2008,38789,13655
01-06-2008,39280,14087
01-09-2008,40096,14580
01-12-2008,40040,14758
01-03-2009,39663,14371
01-06-2009,40562,15033
01-09-2009,40317,14499
01-12-2009,41029,14665
01-03-2010,41249,14373
01-06-2010,41839,14857
01-09-2010,41560,14473
01-12-2010,42589,15219
01-03-2011,44177,16371
01-06-2011,44769,16801
01-09-2011,48417,19814
01-12-2011,46794,17962
01-03-2012,50772,21190
01-06-2012,51776,21400
01-09-2012,53359,23094
01-12-2012,52861,22311
01-03-2013,50787,20352
