;Metal Ore Mining 
01-01-1988;319
01-02-1988;311
01-03-1988;375
01-04-1988;279
01-05-1988;326
01-06-1988;259
01-07-1988;315
01-08-1988;356
01-09-1988;342
01-10-1988;284
01-11-1988;382
01-12-1988;338
01-01-1989;354
01-02-1989;355
01-03-1989;353
01-04-1989;368
01-05-1989;467
01-06-1989;402
01-07-1989;423
01-08-1989;379
01-09-1989;399
01-10-1989;416
01-11-1989;353
01-12-1989;281
01-01-1990;283
01-02-1990;316
01-03-1990;353
01-04-1990;394
01-05-1990;395
01-06-1990;382
01-07-1990;383
01-08-1990;464
01-09-1990;387
01-10-1990;423
01-11-1990;384
01-12-1990;460
01-01-1991;351
01-02-1991;289
01-03-1991;470
01-04-1991;380
01-05-1991;494
01-06-1991;440
01-07-1991;374
01-08-1991;430
01-09-1991;417
01-10-1991;417
01-11-1991;459
01-12-1991;433
01-01-1992;488
01-02-1992;379
01-03-1992;379
01-04-1992;443
01-05-1992;390
01-06-1992;389
01-07-1992;410
01-08-1992;377
01-09-1992;412
01-10-1992;446
01-11-1992;335
01-12-1992;452
01-01-1993;372
01-02-1993;334
01-03-1993;364
01-04-1993;404
01-05-1993;359
01-06-1993;390
01-07-1993;371
01-08-1993;447
01-09-1993;419
01-10-1993;406
01-11-1993;421
01-12-1993;345
01-01-1994;361
01-02-1994;279
01-03-1994;368
01-04-1994;362
01-05-1994;351
01-06-1994;440
01-07-1994;343
01-08-1994;342
01-09-1994;370
01-10-1994;449
01-11-1994;370
01-12-1994;369
01-01-1995;367
01-02-1995;358
01-03-1995;464
01-04-1995;351
01-05-1995;527
01-06-1995;481
01-07-1995;407
01-08-1995;455
01-09-1995;378
01-10-1995;429
01-11-1995;428
01-12-1995;490
01-01-1996;416
01-02-1996;382
01-03-1996;521
01-04-1996;413
01-05-1996;457
01-06-1996;557
01-07-1996;452
01-08-1996;486
01-09-1996;477
01-10-1996;482
01-11-1996;468
01-12-1996;510
01-01-1997;463
01-02-1997;427
01-03-1997;528
01-04-1997;536
01-05-1997;561
01-06-1997;597
01-07-1997;482
01-08-1997;636
01-09-1997;558
01-10-1997;573
01-11-1997;558
01-12-1997;654
01-01-1998;533
01-02-1998;696
01-03-1998;726
01-04-1998;813
01-05-1998;752
01-06-1998;767
01-07-1998;554
01-08-1998;679
01-09-1998;662
01-10-1998;661
01-11-1998;662
01-12-1998;737
01-01-1999;534
01-02-1999;573
01-03-1999;627
01-04-1999;499
01-05-1999;576
01-06-1999;613
01-07-1999;578
01-08-1999;643
01-09-1999;565
01-10-1999;630
01-11-1999;603
01-12-1999;627
01-01-2000;473
01-02-2000;614
01-03-2000;547
01-04-2000;694
01-05-2000;753
01-06-2000;809
01-07-2000;700
01-08-2000;850
01-09-2000;747
01-10-2000;861
01-11-2000;798
01-12-2000;856
01-01-2001;751
01-02-2001;714
01-03-2001;794
01-04-2001;858
01-05-2001;824
01-06-2001;915
01-07-2001;888
01-08-2001;819
01-09-2001;768
01-10-2001;899
01-11-2001;729
01-12-2001;901
01-01-2002;669
01-02-2002;738
01-03-2002;713
01-04-2002;846
01-05-2002;741
01-06-2002;830
01-07-2002;798
01-08-2002;815
01-09-2002;837
01-10-2002;842
01-11-2002;736
01-12-2002;932
01-01-2003;721
01-02-2003;773
01-03-2003;826
01-04-2003;812
01-05-2003;743
01-06-2003;880
01-07-2003;721
01-08-2003;780
01-09-2003;791
01-10-2003;880
01-11-2003;789
01-12-2003;856
01-01-2004;710
01-02-2004;707
01-03-2004;812
01-04-2004;822
01-05-2004;997
01-06-2004;1058
01-07-2004;946
01-08-2004;1104
01-09-2004;989
01-10-2004;1066
01-11-2004;1012
01-12-2004;1106
01-01-2005;1127
01-02-2005;869
01-03-2005;1215
01-04-2005;1448
01-05-2005;1610
01-06-2005;1533
01-07-2005;1509
01-08-2005;1495
01-09-2005;1343
01-10-2005;1747
01-11-2005;1649
01-12-2005;2213
01-01-2006;1242
01-02-2006;1923
01-03-2006;1570
01-04-2006;1742
01-05-2006;1973
01-06-2006;2416
01-07-2006;2267
01-08-2006;2052
01-09-2006;2065
01-10-2006;2415
01-11-2006;2063
01-12-2006;2508
01-01-2007;1947
01-02-2007;2117
01-03-2007;1778
01-04-2007;2268
01-05-2007;2243
01-06-2007;2085
01-07-2007;2451
01-08-2007;2393
01-09-2007;2187
01-10-2007;2101
01-11-2007;2362
01-12-2007;2774
01-01-2008;2612
01-02-2008;2129
01-03-2008;2799
01-04-2008;2921
01-05-2008;3381
01-06-2008;3360
01-07-2008;3665
01-08-2008;4025
01-09-2008;4534
01-10-2008;4490
01-11-2008;3210
01-12-2008;3372
01-01-2009;3347
01-02-2009;3431
01-03-2009;3903
01-04-2009;3105
01-05-2009;3020
01-06-2009;3105
01-07-2009;3000
01-08-2009;3048
01-09-2009;3128
01-10-2009;3010
01-11-2009;3023
01-12-2009;3318
01-01-2010;3075
01-02-2010;3488
01-03-2010;3696
01-04-2010;4903
01-05-2010;5156
01-06-2010;6237
01-07-2010;5732
01-08-2010;5465
01-09-2010;5736
01-10-2010;5642
01-11-2010;5503
01-12-2010;6035
01-01-2011;5379
01-02-2011;4794
01-03-2011;6375
01-04-2011;6160
01-05-2011;6389
01-06-2011;6839
01-07-2011;6601
01-08-2011;7212
01-09-2011;7152
01-10-2011;7135
01-11-2011;5881
01-12-2011;6582
01-01-2012;4793
01-02-2012;5319
01-03-2012;5473
01-04-2012;6217
01-05-2012;6396
01-06-2012;6219
01-07-2012;5732
01-08-2012;5386
01-09-2012;4692
01-10-2012;4976
01-11-2012;5093
01-12-2012;6601
01-01-2013;5589
01-02-2013;5807
01-03-2013;6593
01-04-2013;6587
